Angle (graus)	Voltage (V)	 Uncertaity (V*5/1023)	 Uncertainty (graus)
0	0.61	0.01	0
4	0.64	0.01	0.04
8	0.67	0.01	0.08
12	0.69	0	0.12
16	0.73	0.01	0.16
20	0.75	0.01	0.2
24	0.78	0.01	0.24
28	0.78	0.01	0.28
32	0.8	0	0.32
36	0.81	0	0.36
40	0.83	0.01	0.4
44	0.83	0.01	0.44
48	0.82	0.01	0.48
52	0.8	0	0.52
56	0.79	0.01	0.56
60	0.75	0.01	0.6
64	0.74	0.01	0.64
68	0.72	0.01	0.68
72	0.72	0.01	0.72
76	0.65	0.01	0.76
80	0.62	0.01	0.8
84	0.6	0.01	0.84
88	0.55	0	0.88
92	0.51	0.01	0.92
96	0.48	0.01	0.96
100	0.45	0.01	1
104	0.43	0.01	1.04
108	0.4	0.01	1.08
112	0.37	0.01	1.12
116	0.35	0.01	1.16
120	0.33	0.01	1.2
124	0.32	0.01	1.24
128	0.31	0.01	1.28
132	0.3	0.01	1.32
136	0.3	0.01	1.36
140	0.3	0.01	1.4
144	0.31	0	1.44
148	0.32	0.01	1.48
152	0.34	0.01	1.52
156	0.36	0.01	1.56
160	0.39	0.01	1.6
164	0.41	0.01	1.64
168	0.45	0.01	1.68
172	0.48	0.01	1.72
176	0.52	0.01	1.76
180	0.56	0.01	1.8
