V(canais);V(calib);i(canais);E(i);n(i)
0;0.0000;3.4286;1000.3734;7;
1;0.1600;5.7647;33.1922;102;
2;0.3200;21.0200;33.6281;200;
3;0.4800;242.7850;417.3376;200;
4;0.6400;37.7500;71.6018;200;
5;0.8000;9.9600;47.1745;200;
6;0.9600;3.9100;25.7269;200;
7;1.1200;5.5800;27.9032;150;
8;1.2800;4.2857;25.6638;161;
9;1.4400;6.3526;32.8973;156;
10;1.6000;8.3908;36.2799;174;
11;1.7600;5.1228;29.0013;171;
12;1.9200;4.4091;29.1633;88;
13;2.0800;2.0625;13.8317;48;
14;2.2400;1.0294;1.5987;34;
15;2.4000;1.0000;4.1862;20;
16;2.5600;1.0000;0.7602;33;
17;2.7200;1.0000;1.7183;32;
18;2.8800;1.0000;24.9266;25;
19;3.0400;1.0000;1.1137;34;
20;3.2000;1.0000;1.0087;26;
21;3.3600;1.0000;0.7215;29;
22;3.5200;1.0000;0.6917;27;
23;3.6800;1.0000;0.4938;25;
24;3.8400;1.0000;0.3317;24;
25;4.0000;1.0968;0.4210;31;
26;4.1600;1.5556;0.4969;18;
27;4.3200;1.9643;0.3588;28;
28;4.4800;1.9062;0.6678;32;
29;4.6400;2.0000;0.5495;31;
30;4.8000;2.0000;0.4966;28;
31;4.9600;2.0000;0.5091;14;
32;5.1200;2.5652;0.8087;23;
33;5.2800;2.8929;0.7503;28;
34;5.4400;2.9667;0.4295;30;
35;5.6000;3.1923;5.9965;26;
36;5.7600;3.8519;0.5108;27;
37;5.9200;3.9677;5.1113;31;
38;6.0800;4.0000;0.2989;31;
39;6.2400;4.0000;0.2868;22;
40;6.4000;3.9677;0.3699;31;
41;6.5600;4.1250;0.5725;24;
42;6.7200;4.8571;0.7500;28;
43;6.8800;4.9333;0.7972;30;
44;7.0400;5.0000;0.7928;21;
45;7.2000;5.0000;0.7622;33;
46;7.3600;5.3043;1.3418;23;
47;7.5200;5.8800;0.8522;25;
48;7.6800;6.0385;2.0034;26;
49;7.8400;6.6667;1.8580;30;
50;8.0000;7.4074;2.8188;27;
51;8.1600;8.1034;1.8578;29;
52;8.3200;8.8519;4.4740;27;
53;8.4800;9.9677;3.6583;31;
54;8.6400;11.0000;4.2102;24;
55;8.8000;11.8696;4.1809;23;
56;8.9600;12.7308;2.4552;26;
57;9.1200;13.3333;1.8017;30;
58;9.2800;13.8438;3.4495;32;
59;9.4400;14.0000;2.8602;24;
60;9.6000;13.7778;3.9151;27;
61;9.7600;14.0000;1.1367;27;
62;9.9200;14.0000;1.0047;34;
63;10.0800;14.0000;0.7183;21;
64;10.2400;14.0000;0.9292;31;
65;10.4000;14.0000;0.8169;25;
66;10.5600;14.0000;1.3182;28;
67;10.7200;14.0000;1.5685;24;
68;10.8800;14.0312;1.6880;32;
69;11.0400;14.2000;1.8577;25;
