V(canais);V(calib);i(canais);E(i);n(i)
0;0.0000;3.0000;6016.9023;1;
1;0.2126;2.9423;145.9098;52;
2;0.4251;10.0700;153.7832;200;
3;0.6377;123.0950;1313.3342;200;
4;0.8503;46.9700;442.9625;200;
5;1.0628;14.0750;149.7863;200;
6;1.2754;4.6056;89.9249;180;
7;1.4879;4.4711;82.5001;121;
8;1.7005;5.2817;75.3432;142;
9;1.9131;5.2980;81.0241;151;
10;2.1256;4.6471;64.6834;170;
11;2.3382;3.7516;67.8271;153;
12;2.5508;4.4679;74.8879;109;
13;2.7633;4.2344;72.2945;64;
14;2.9759;4.0000;66.2014;32;
15;3.1884;2.0000;26.2280;18;
16;3.4010;2.0000;3.4332;31;
17;3.6136;2.0000;27.0061;21;
18;3.8261;2.0000;2.8046;32;
19;4.0387;2.0000;3.8314;28;
20;4.2513;2.0000;3.4383;22;
21;4.4638;2.0000;3.1666;28;
22;4.6764;2.0000;33.6674;24;
23;4.8889;2.0000;23.6660;23;
24;5.1015;2.0000;3.2163;21;
25;5.3141;2.0333;31.4196;30;
26;5.5266;2.0000;11.4360;22;
27;5.7392;2.0690;2.9292;29;
28;5.9518;2.2500;29.1284;16;
29;6.1643;2.3871;3.1218;31;
30;6.3769;2.6667;23.3044;21;
31;6.5894;2.9286;7.2124;14;
32;6.8020;2.9583;5.6902;24;
33;7.0146;2.9630;4.1058;27;
34;7.2271;3.0000;8.2635;31;
35;7.4397;2.9583;4.0128;24;
36;7.6523;3.0000;4.1325;27;
37;7.8648;3.0968;19.8483;31;
38;8.0774;3.2632;4.6476;19;
39;8.2899;3.8000;3.8666;20;
40;8.5025;3.8182;4.3508;22;
41;8.7151;3.9643;3.9926;28;
42;8.9276;4.0000;3.1777;27;
43;9.1402;4.0000;4.2062;23;
44;9.3528;4.0000;4.2438;27;
45;9.5653;4.0000;4.8325;26;
46;9.7779;4.0000;6.3530;22;
47;9.9905;4.1429;5.8882;21;
48;10.2030;4.4643;5.9404;28;
49;10.4156;4.9231;5.6971;26;
50;10.6281;4.9667;4.0779;30;
51;10.8407;5.0000;11.4176;25;
52;11.0533;5.5000;7.1820;22;
53;11.2658;6.0435;12.5638;23;
54;11.4784;6.3704;6.5074;27;
55;11.6910;6.8182;7.6102;22;
56;11.9035;7.0455;6.9893;22;
57;12.1161;7.8929;9.0580;28;
58;12.3286;7.9600;12.4610;25;
59;12.5412;7.9600;10.7778;25;
60;12.7538;8.0000;12.2831;30;
61;12.9663;8.0455;24.3747;22;
62;13.1789;7.9756;8.8942;41;
63;13.3915;8.0000;36.9203;9;
64;13.6040;8.0000;15.5999;22;
65;13.8166;8.0000;13.8095;29;
66;14.0291;8.0000;9.5227;28;
67;14.2417;8.0000;5.0978;25;
68;14.4543;8.1200;6.4517;25;
69;14.6668;8.5833;5.5488;24;
70;14.8794;8.8929;7.3703;28;
71;15.0920;8.9048;9.3517;21;
72;15.3045;9.0455;11.7062;22;
73;15.5171;9.3929;12.4411;28;
74;15.7296;10.0455;9.4425;22;
75;15.9422;10.4667;7.4211;30;
76;16.1548;12.9200;13.0955;25;
77;16.3673;11.9062;6.5858;32;
78;16.5799;12.6471;7.8064;17;
79;16.7925;12.9200;5.4414;25;
80;17.0050;12.9524;7.3822;21;
81;17.2176;13.2083;6.1401;24;
82;17.4302;13.8571;5.3606;28;
83;17.6427;13.5455;9.3937;22;
84;17.8553;13.1852;11.2787;27;
85;18.0678;13.0000;9.8673;29;
86;18.2804;13.0000;10.3975;25;
87;18.4930;13.0000;6.5695;26;
88;18.7055;13.0000;6.0054;25;
89;18.9181;13.0000;3.3902;28;
90;19.1307;13.0000;3.8645;28;
91;19.3432;13.0000;4.1384;22;
92;19.5558;13.0000;3.4531;29;
93;19.7683;13.0000;4.7162;26;
94;19.9809;13.0000;5.0574;16;
95;20.1935;13.7600;4.3785;25;
96;20.4060;14.0800;6.2779;25;
97;20.6186;14.9032;6.7480;31;
98;20.8312;15.8148;10.2389;27;
99;21.0437;16.9310;10.4202;29;
100;21.2563;17.5909;14.2636;22;
101;21.4688;18.4286;13.0688;28;
102;21.6814;18.8571;11.4909;28;
103;21.8940;18.9444;9.6657;18;
104;22.1065;19.0000;6.7823;28;
105;22.3191;19.0435;8.0426;23;
106;22.5317;19.0000;6.4235;28;
107;22.7442;18.9600;6.6237;25;
108;22.9568;18.7500;4.6274;28;
109;23.1693;18.1143;4.0758;35;
110;23.3819;18.0000;4.8046;21;
111;23.5945;17.8750;4.2883;24;
112;23.8070;17.2917;3.4814;24;
113;24.0196;17.0938;2.1086;32;
114;24.2322;17.0000;7.6003;25;
115;24.4447;17.5667;5.8572;30;
116;24.6573;17.9524;7.2807;21;
117;24.8699;18.1739;9.1588;23;
118;25.0824;19.0000;9.5933;27;
119;25.2950;19.5000;10.4202;20;
120;25.5075;20.6364;9.6068;33;
121;25.7201;21.8000;10.7417;25;
122;25.9327;22.7600;9.9495;25;
123;26.1452;24.0800;8.8265;25;
124;26.3578;24.8889;6.8519;27;
125;26.5704;25.6061;4.7262;33;
126;26.7829;25.9167;4.6240;24;
127;26.9955;26.0000;4.0299;26;
128;27.2080;25.9583;3.8632;24;
129;27.4206;25.6129;4.2639;31;
130;27.6332;25.0769;4.7744;26;
131;27.8457;24.8400;4.9444;25;
132;28.0583;24.1333;4.3775;30;
133;28.2709;23.9032;4.4399;31;
134;28.4834;23.2174;5.9481;23;
135;28.6960;23.0435;7.1665;23;
136;28.9085;23.1429;9.3821;21;
137;29.1211;23.0000;7.4629;40;
138;29.3337;23.0741;8.8326;27;
139;29.5462;23.6818;8.0887;22;
140;29.7588;24.0667;5.6763;30;
141;29.9714;25.0000;8.0661;28;
142;30.1839;25.8846;8.5447;26;
143;30.3965;27.2222;9.5574;27;
144;30.6090;28.1600;11.5759;25;
145;30.8216;29.5385;10.8479;26;
146;31.0342;30.6923;11.5480;26;
147;31.2467;32.1000;7.9355;30;
148;31.4593;32.8966;5.5552;29;
149;31.6719;33.0000;3.8406;23;
150;31.8844;32.9655;4.8390;29;
151;32.0970;33.0000;3.2016;17;
152;32.3095;33.0000;2.9556;29;
153;32.5221;32.5333;3.6785;30;
154;32.7347;31.9630;3.9577;27;
155;32.9472;31.1290;3.8598;31;
156;33.1598;30.2222;4.6625;27;
157;33.3724;30.1000;3.8051;30;
158;33.5849;29.2727;4.6792;22;
159;33.7975;29.0455;3.4953;22;
160;34.0101;29.0000;3.9429;30;
161;34.2226;29.0000;3.5860;35;
162;34.4352;29.3913;5.1957;23;
163;34.6477;30.1200;5.3638;25;
164;34.8603;30.6786;5.7439;28;
165;35.0729;32.1429;7.9091;28;
166;35.2854;33.0417;9.9398;24;
167;35.4980;34.5000;9.1912;26;
168;35.7106;35.8182;10.5151;22;
169;35.9231;37.0000;7.9846;36;
170;36.1357;38.2857;8.5853;21;
171;36.3482;39.4231;6.0226;26;
172;36.5608;39.8000;3.9921;35;
173;36.7734;39.9333;3.1107;30;
174;36.9859;40.0000;1.6952;32;
175;37.1985;40.0000;2.3040;19;
176;37.4111;39.8750;2.7024;32;
177;37.6236;39.1111;3.6778;27;
178;37.8362;38.2083;4.1990;24;
179;38.0487;37.6774;3.5226;31;
180;38.2613;37.0714;4.4707;28;
181;38.4739;36.2857;4.2161;28;
182;38.6864;36.0357;2.5633;28;
183;38.8990;36.0417;2.2915;24;
184;39.1116;36.0323;2.0329;31;
185;39.3241;36.0000;3.0243;27;
186;39.5367;36.0645;3.4129;31;
187;39.7492;36.9000;4.2838;30;
188;39.9618;37.8125;5.5589;32;
189;40.1744;38.9259;5.5518;27;
190;40.3869;40.4737;5.4634;19;
191;40.5995;41.3478;3.8358;23;
192;40.8121;42.6176;3.9588;34;
193;41.0246;43.8400;3.4295;25;
194;41.2372;44.7692;3.1128;26;
195;41.4497;45.7931;2.2986;29;
196;41.6623;46.0370;1.5392;27;
197;41.8749;46.8000;1.0275;30;
198;42.0874;46.6667;0.9319;27;
199;42.3000;46.0741;1.2267;27;
200;42.5126;45.8889;1.8026;27;
201;42.7251;45.2000;2.8622;25;
202;42.9377;44.6333;5.9756;30;
203;43.1502;43.9500;8.9794;20;
204;43.3628;43.3333;8.3755;30;
205;43.5754;43.2000;8.1387;30;
206;43.7879;42.1034;4.1754;29;
207;44.0005;42.0000;3.2469;24;
208;44.2131;42.0000;2.7725;30;
209;44.4256;42.0000;2.4313;32;
210;44.6382;42.5556;4.6976;27;
211;44.8508;43.0909;5.6806;22;
212;45.0633;44.1034;5.4589;29;
213;45.2759;45.1667;4.4866;30;
214;45.4884;46.1379;3.4155;29;
215;45.7010;47.6923;2.8638;26;
216;45.9136;48.8214;2.3785;28;
217;46.1261;50.0303;2.1915;33;
218;46.3387;51.0800;1.8991;25;
219;46.5513;51.7143;1.6574;28;
220;46.7638;52.0303;1.3584;33;
221;46.9764;52.5714;1.6076;28;
222;47.1889;52.3077;1.4638;26;
223;47.4015;52.0000;1.1240;15;
224;47.6141;51.9643;1.1903;28;
225;47.8266;51.4516;1.2687;31;
226;48.0392;50.9286;1.2542;28;
227;48.2518;50.2143;1.2144;28;
228;48.4643;49.8276;1.2020;29;
229;48.6769;49.0667;1.2341;30;
230;48.8894;49.0000;1.9507;31;
231;49.1020;48.5455;0.9773;22;
232;49.3146;48.2000;1.0659;25;
233;49.5271;48.7667;1.4878;30;
234;49.7397;49.0345;1.4392;29;
235;49.9523;49.4400;2.0528;25;
236;50.1648;50.1538;2.1515;26;
237;50.3774;51.3429;1.9557;35;
238;50.5900;52.2308;2.3178;26;
239;50.8025;53.4000;2.0217;25;
240;51.0151;54.4839;1.9468;31;
241;51.2276;55.8182;1.8735;33;
242;51.4402;56.6429;2.0331;28;
243;51.6528;57.1429;1.4928;21;
244;51.8653;57.8485;1.2262;33;
245;52.0779;57.9630;1.0450;27;
246;52.2905;58.0000;1.2051;8;
247;52.5030;0.0000;0.0000;0;
248;52.7156;0.0000;0.0000;0;
249;52.9281;0.0000;0.0000;0;
250;53.1407;0.0000;0.0000;0;
251;53.3533;0.0000;0.0000;0;
252;53.5658;0.0000;0.0000;0;
253;53.7784;0.0000;0.0000;0;
254;53.9910;0.0000;0.0000;0;
Canal 199 = 42.3000V
Fundo de escala(A)= 1.00 nA
Fator de calib=0.2126
