V(canais);V(calib);i(canais);E(i);n(i)
12;2,3127;-0,5000;1,5347;18;
13;2,5055;-0,4500;1,4430;20;
14;2,6982;-0,5909;1,6840;22;
15;2,8909;-0,3333;1,6940;18;
16;3,0836;-0,2941;0,9235;17;
17;3,2764;-0,4762;1,2163;21;
18;3,4691;-0,1818;1,5505;22;
19;3,6618;-0,1600;1,0568;25;
20;3,8545;-0,1071;1,5327;28;
21;4,0473;-0,1200;0,8811;25;
22;4,2400;-0,0909;1,0333;22;
23;4,4327;-0,0526;0,9934;19;
24;4,6255;-0,0417;0,9574;24;
25;4,8182;-0,0345;0,7442;29;
26;5,0109;-0,0345;0,4174;29;
27;5,2036;0,0000;0,9141;23;
28;5,3964;0,0000;0,8949;25;
29;5,5891;0,0000;0,7833;25;
30;5,7818;0,0000;0,8954;19;
31;5,9745;0,0000;0,5006;25;
32;6,1673;0,0000;0,5920;24;
33;6,3600;0,0000;0,4396;30;
34;6,5527;0,0000;0,5800;21;
35;6,7455;0,0000;1,0096;24;
36;6,9382;0,0000;0,4941;25;
37;7,1309;0,0000;0,4393;29;
38;7,3236;0,0000;0,4403;28;
39;7,5164;0,0000;0,6320;17;
40;7,7091;0,0000;0,6643;25;
41;7,9018;0,0000;0,5993;23;
42;8,0945;0,0000;0,5651;25;
43;8,2873;0,0000;0,6663;31;
44;8,4800;0,0526;0,9505;19;
45;8,6727;0,1667;1,0149;24;
46;8,8655;0,3158;1,1100;19;
47;9,0582;0,6316;1,0458;19;
48;9,2509;0,8400;1,0522;25;
49;9,4436;1,0000;1,5258;27;
50;9,6364;1,0000;1,1439;22;
51;9,8291;1,0000;1,5640;24;
52;10,0218;1,0000;1,2240;29;
53;10,2145;1,0000;1,3113;21;
54;10,4073;1,0000;1,2354;31;
55;10,6000;1,0000;1,3915;19;
56;10,7927;1,0400;1,2943;25;
57;10,9855;1,0417;0,9414;24;
58;11,1782;1,0500;1,1350;20;
59;11,3709;1,8000;0,9629;25;
60;11,5636;1,9615;0,8836;26;
61;11,7564;1,9615;1,0785;26;
62;11,9491;2,0000;1,0478;22;
63;12,1418;2,1111;0,9878;18;
64;12,3345;2,4815;1,1663;27;
65;12,5273;2,9310;1,1668;29;
66;12,7200;3,0000;1,4585;20;
67;12,9127;3,0370;0,7381;27;
68;13,1055;3,0000;0,7233;24;
69;13,2982;3,0333;1,2686;30;
70;13,4909;3,1429;0,8146;21;
